 "players_name" , "team_name" ,
 "Miguel Muñiz Fernández" , "Atlético Sanluqueño" ,
 "Muhammad Azwan Ali Rahman" , "DPMM FC" ,
 "Rosmin bin Haji Muhammad Kamis" , "DPMM FC" ,
 "Muhammad Wardun bin Yusof" , "DPMM FC" ,
 "Jimmy Zakazaka" , "Big Bullets FC" ,
 "Mohammed Gassid Kadhim Al-Jaberi" , "Al Shorta" ,
 "Steven Morris" , "Baton Rouge Capitals" ,
 "Ermin Zec" , "Balıkesirspor Kulübü" ,
 "Francisco Paúl Uscanga Gutiérrez" , "Atlante" ,
 "Hussein Abdul-Wahed" , "Al Shorta" ,
 "Ante Kulušić" , "Balıkesirspor Kulübü" ,
 "Gerson Fraga Vieira" , "Atenas" ,
 "Khalid Nouruddin Jaberti" , "Al-Kharaitiyat SC" ,
 "Nicolás Alberto Fernández" , "Asteras Tripolis" ,
 "Wallace Costa Alves" , "Al-Yarmouk" ,
 "Andrés González Jaén" , "Atlético Madrid B" ,
 "Mark Alan Jones" , "Bala Town" ,
 "Denigo Ebinipere" , "Bayelsa United" ,
 "Domingos Nascimento dos Santos Filho" , "Al-Kharaitiyat SC" ,
 "Gerardo Omar Castillo Zamorano" , "Atlante" ,
 "Muthana Khalid Salih Al-Masloukhi" , "Al Shorta" ,
 "Nuno André da Silva Coelho" , "Balıkesirspor Kulübü" ,
 "Cheick Sidia Baldé" , "Balma SC" ,
 "Oladapo Olufemi Oluyi" , "Bayelsa United" ,
 "Vagif Fuzuli oglu Javadov" , "Boluspor" ,
 "Özgür Öçal" , "Alanyaspor" ,
 "Abass Cheikh Dieng" , "Becamex Bình Dương" ,
 "Arturo Muñoz Gutiérrez" , "Atlante" ,
 "Bùi Tấn Trường" , "Becamex Bình Dương" ,
 "Giancarlo Gregorio Maldonado Marrero" , "Atlante" ,
 "Jiang Bo" , "Beijing Enterprises" ,
 "Jiang Bo" , "Běijīng Kònggǔ" ,
 "Franco Antonio Bano" , "Atenas" ,
 "Rubens Martin Colombo Rivero" , "BIT" ,
 "Rubens Martin Colombo Rivero" , 北京理工大学足球俱乐部 ,
 "Daniel Omar Márquez Palacios" , "Atlante" ,
 "Chizamusoka Robert Ng'ambi" , "Big Bullets FC" ,
 "Lu Jiang" , "Beijing Enterprises" ,
